Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Juan Soto ","NYM","OF",4.650000095367432,607.685,502.14199578762054,35.760797215367845,16.809601861951794,53.57039907731964,"Juan Soto","20123",665742
"Aaron Judge ","NYY","OF/DH",1.850000023841858,613.982,500.41829311847687,35.320702426875926,16.809601861951794,53.130304288827716,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.2699999809265137,631.397,515.9033942222595,39.27434966374585,7.555038463400127,47.829388127145975,"Shohei Ohtani","19755",660271
"José Ramírez ","CLE","3B/DH",6.28000020980835,595.529,479.57630467414856,29.99933775049905,15.509947123256422,46.509284873755476,"Jose Ramirez","13510",608070
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,635.675,489.64828968048096,32.570911253519576,10.88220454006311,44.45311579358269,"Bobby Witt Jr.","25764",677951
"Ronald Acuña Jr. ","ATL","OF",5.260000228881836,638.131,464.22299814224243,26.07934022901954,16.809601861951794,43.88894209097134,"Ronald Acuna Jr.","18401",660670
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,628.464,497.830796957016,34.66006437352331,7.555038463400127,43.215102836923435,"Vladimir Guerrero Jr.","19611",665489
"Kyle Tucker ","LAD","OF",13.130000114440918,585.713,458.0913062095642,24.513800120208177,16.809601861951794,42.323401982159965,"Kyle Tucker","18345",663656
"Corbin Carroll ","ARI","OF",14.100000381469727,606.423,450.6887035369873,22.623771801637478,16.809601861951794,40.43337366358927,"Corbin Carroll","25878",682998
"Fernando Tatis Jr. ","SDP","OF",14.010000228881836,602.753,438.2608953714371,19.450710864884883,16.809601861951794,37.26031272683668,"Fernando Tatis Jr.","19709",665487
"Junior Caminero ","TBR","3B",16.479999542236328,583.678,420.32248812913895,14.870686895261924,15.509947123256422,31.380634018518354,"Junior Caminero","28163",691406
"Yordan Alvarez ","HOU","DH",33.38999938964844,538.15,448.98239636421204,22.18811842141858,7.555038463400127,30.74315688481871,"Yordan Alvarez","19556",670541
"Alex Bregman ","CHC","3B",119.16999816894531,633.887,414.6420010328293,13.420348149529499,15.509947123256422,29.930295272785923,"Alex Bregman","17678",608324
"Cal Raleigh ","SEA","C/DH",18.729999542236328,607.932,367.3098005056381,1.335517538795554,26.29857260146566,28.63409014026122,"Cal Raleigh","21534",663728
"Ketel Marte ","ARI","2B/DH",32.63999938964844,596.168,420.6804963350296,14.962093347471049,11.877546918772719,27.839640266243766,"Ketel Marte","13613",606466
"Gunnar Henderson ","BAL","SS",12.510000228881836,614.051,423.81600427627563,15.762649457825594,10.88220454006311,27.644853997888703,"Gunnar Henderson","26289",683002
"Julio Rodríguez ","SEA","OF",9.489999771118164,604.295,393.8310024738312,8.10689579311008,16.809601861951794,25.916497655061875,"Julio Rodriguez","23697",677594
"Steven Kwan ","CLE","OF",169.60000610351562,639.533,392.1763015985489,7.684418503516668,16.809601861951794,25.49402036546846,"Steven Kwan","24610",680757
"William Contreras ","MIL","C/DH",56.560001373291016,568.976,348.7385957837105,-3.4060719246571036,26.29857260146566,23.89250067680856,"William Contreras","20503",661388
"Maikel Garcia ","KCR","3B",63.150001525878906,622.209,390.0774931907654,7.148551930444977,15.509947123256422,23.6584990537014,"Maikel Garcia","22715",672580
"Cody Bellinger ","NYY","OF",80.98999786376953,555.049,380.0310037136078,4.583487931482507,16.809601861951794,22.3930897934343,"Cody Bellinger","15998",641355
"Francisco Lindor ","NYM","SS",25.350000381469727,621.158,402.3882963657379,10.291739219321645,10.88220454006311,22.173943759384755,"Francisco Lindor","12916",596019
"Kyle Schwarber ","PHI","DH",24.690000534057617,644.28,414.84460067749023,13.472075775970952,7.555038463400127,22.027114239371077,"Kyle Schwarber","16478",656941
"Freddie Freeman ","LAD","1B",67.87999725341797,619.013,412.47469425201416,12.866992610680223,7.555038463400127,21.42203107408035,"Freddie Freeman","5361",518692
"Elly De La Cruz ","CIN","SS",8.449999809265137,609.702,396.3218984603882,8.742869944559168,10.88220454006311,20.625074484622278,"Elly De La Cruz","26668",682829
"Drake Baldwin ","ATL","C",78.62999725341797,507.829,330.0212095975876,-8.18498435669251,26.29857260146566,19.11358824477315,"Drake Baldwin","31539",686948
"Adley Rutschman ","BAL","C",148.92999267578125,533.104,325.7568031549454,-9.273770192564397,26.29857260146566,18.024802408901266,"Adley Rutschman","26288",668939
"George Springer ","TOR","OF/DH",94.37999725341797,579.409,362.9050965309143,0.21091101655316474,16.809601861951794,18.020512878504956,"George Springer","12856",543807
"Alec Burleson ","STL","1B/OF/DH",175.19000244140625,544.288,361.8127040863037,-0.06799800323730013,16.809601861951794,17.74160385871449,"Alec Burleson","27615",676475
"Bryce Harper ","PHI","1B",47.900001525878906,591.682,396.3891991972923,8.760053130559507,7.555038463400127,17.315091593959636,"Bryce Harper","11579",547180
"Pete Alonso ","BAL","1B",24.440000534057617,625.942,394.2402928471565,8.211395579241922,7.555038463400127,16.766434042642047,"Pete Alonso","19251",624413
"Salvador Perez ","KCR","C/1B/DH",91.13999938964844,546.035,319.5528890490532,-10.857750025705256,26.29857260146566,16.440822575760407,"Salvador Perez","7304",521692
"Yandy Díaz ","TBR","1B/DH",138.63999938964844,614.578,390.5238013267517,7.26250307075777,7.555038463400127,15.817541534157899,"Yandy Diaz","16578",650490
"Brent Rooker ","ATH","OF/DH",42.11000061035156,585.74,353.40719306468964,-2.2140883130362,16.809601861951794,15.595513548915592,"Brent Rooker","19627",667670
"Kevin McGonigle ","DET","3B/SS",999,607.382,374.7063012123108,3.2239879068901756,10.88220454006311,15.106192446953285,"Kevin McGonigle","33572",805808
"Matt Olson ","ATL","1B",48.0099983215332,625.139,387.22261333465576,6.419645623727599,7.555038463400127,14.974684087127725,"Matt Olson","14344",621566
"Wyatt Langford ","TEX","OF",37.75,571.325,350.39159393310547,-2.984029374072131,16.809601861951794,14.825572487879663,"Wyatt Langford","33333",694671
"Shea Langeliers ","ATH","C",54.04999923706055,483.664,312.0306947827339,-12.778312402205803,26.29857260146566,14.52026019925986,"Shea Langeliers","25816",669127
"Manny Machado ","SDP","3B",37.52000045776367,572.899,353.9947022795677,-2.064085793293468,15.509947123256422,14.445861329962954,"Manny Machado","11493",592518
