Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Juan Soto ","NYM","OF",4.650000095367432,621.171,524.25,45.695561120958224,21.305113631367174,68.00067475232541,"Juan Soto","20123",665742
"Shohei Ohtani ","LAD","DH",1.2699999809265137,658.176,546.37610912323,51.7708806111191,14.057544455480272,66.82842506659937,"Shohei Ohtani","19755",660271
"Aaron Judge ","NYY","OF/DH",1.850000023841858,633.319,518.4565861225128,44.104823226263775,21.305113631367174,66.40993685763095,"Aaron Judge","15640",592450
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,636.639,509.7915076613426,41.725592437618204,20.746184845518716,63.471777283136916,"Vladimir Guerrero Jr.","19611",665489
"Ronald Acuña Jr. ","ATL","OF",5.260000228881836,676.219,502.82540225982666,39.81286048458304,21.305113631367174,62.11797411595022,"Ronald Acuna Jr.","18401",660670
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,633.655,497.2994065284729,38.29554944800354,17.370232310689723,56.66578175869326,"Bobby Witt Jr.","25764",677951
"José Ramírez ","CLE","3B/DH",6.28000020980835,603.88,491.7793951034546,36.779881563987026,14.057544455480272,51.8374260194673,"Jose Ramirez","13510",608070
"Fernando Tatis Jr. ","SDP","OF",14.010000228881836,619.251,462.1832937002182,28.65347440010464,21.305113631367174,50.95858803147181,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll ","ARI","OF",14.100000381469727,609.917,456.54400539398193,27.105055834205775,21.305113631367174,49.410169465572956,"Corbin Carroll","25878",682998
"Gunnar Henderson ","BAL","SS",12.510000228881836,665.535,468.5886869430542,30.412247720511434,17.370232310689723,48.78248003120115,"Gunnar Henderson","26289",683002
"Kyle Tucker ","LAD","OF",13.130000114440918,562.259,450.4805061817169,25.440158732881567,21.305113631367174,47.745272364248734,"Kyle Tucker","18345",663656
"Freddie Freeman ","LAD","1B",67.87999725341797,658.412,433.5554040670395,20.792915868011686,20.746184845518716,42.5391007135304,"Freddie Freeman","5361",518692
"Julio Rodríguez ","SEA","OF",9.489999771118164,617.685,424.0286958217621,18.177101403875074,21.305113631367174,40.482215035242255,"Julio Rodriguez","23697",677594
"Ketel Marte ","ARI","2B/DH",32.63999938964844,596.305,422.9779965877533,17.888603616075187,21.08561731868389,39.97422093475908,"Ketel Marte","13613",606466
"Cal Raleigh ","SEA","C/DH",18.729999542236328,614.647,397.16081154346466,10.799799768679184,27.34328016552604,39.14307993420522,"Cal Raleigh","21534",663728
"Mookie Betts ","LAD","SS",60.58000183105469,591.152,432.89990186691284,20.61293007520496,17.370232310689723,38.98316238589468,"Mookie Betts","13611",605141
"Pete Alonso ","BAL","1B",24.440000534057617,642.471,418.3612932562828,16.620963310508497,20.746184845518716,38.36714815602721,"Pete Alonso","19251",624413
"Yordan Alvarez ","HOU","DH",33.38999938964844,543.074,440.8993992805481,22.809407651894013,14.057544455480272,37.86695210737428,"Yordan Alvarez","19556",670541
"Francisco Lindor ","NYM","SS",25.350000381469727,644.192,425.59759944677353,18.607886171234327,17.370232310689723,36.97811848192405,"Francisco Lindor","12916",596019
"Bryce Harper ","PHI","1B",47.900001525878906,598.364,409.6798031926155,14.237226274155288,20.746184845518716,35.983411119674,"Bryce Harper","11579",547180
"Matt Olson ","ATL","1B",48.0099983215332,651.293,405.05550944805145,12.967501816135538,20.746184845518716,34.71368666165426,"Matt Olson","14344",621566
"Nick Kurtz ","ATH","1B",19.8700008392334,600.279,404.00479197502136,12.67899902032087,20.746184845518716,34.425183865839585,"Nick Kurtz","35110",701762
"Junior Caminero ","TBR","3B",16.479999542236328,570.613,420.735604763031,17.272894515056166,14.057544455480272,32.330438970536434,"Junior Caminero","28163",691406
"George Springer ","TOR","OF/DH",94.37999725341797,608.582,391.39059698581696,9.215431872396767,21.305113631367174,31.52054550376394,"George Springer","12856",543807
"Elly De La Cruz ","CIN","SS",8.449999809265137,616.808,403.6492075920105,12.581363746063152,17.370232310689723,30.95159605675287,"Elly De La Cruz","26668",682829
"Cody Bellinger ","NYY","OF",80.98999786376953,573.919,387.8296015262604,8.237664611134146,21.305113631367174,30.54277824250132,"Cody Bellinger","15998",641355
